City,Year,Month,ARI_Type,Temperature_C,Humidity_%,Rainfall_mm,Cases
Biñan,2015,1,Influenza,26.8,91,61,252
Biñan,2015,1,Pneumonia,26.8,91,61,44
Biñan,2015,1,Bronchitis,26.8,91,61,111
Biñan,2015,1,Asthma,26.8,91,61,44
Biñan,2015,1,Common Cold,26.8,91,61,310
Cabuyao,2015,1,Influenza,26.5,88,15,74
Cabuyao,2015,1,Pneumonia,26.5,88,15,123
Cabuyao,2015,1,Bronchitis,26.5,88,15,120
Cabuyao,2015,1,Asthma,26.5,88,15,154
Cabuyao,2015,1,Common Cold,26.5,88,15,454
Calamba,2015,1,Influenza,25.6,81,27,258
Calamba,2015,1,Pneumonia,25.6,81,27,92
Calamba,2015,1,Bronchitis,25.6,81,27,96
Calamba,2015,1,Asthma,25.6,81,27,102
Calamba,2015,1,Common Cold,25.6,81,27,202
San Pedro,2015,1,Influenza,25.3,84,47,151
San Pedro,2015,1,Pneumonia,25.3,84,47,55
San Pedro,2015,1,Bronchitis,25.3,84,47,29
San Pedro,2015,1,Asthma,25.3,84,47,126
San Pedro,2015,1,Common Cold,25.3,84,47,308
Sta. Rosa,2015,1,Influenza,26.5,92,35,145
Sta. Rosa,2015,1,Pneumonia,26.5,92,35,58
Sta. Rosa,2015,1,Bronchitis,26.5,92,35,110
Sta. Rosa,2015,1,Asthma,26.5,92,35,90
Sta. Rosa,2015,1,Common Cold,26.5,92,35,176
San Pablo,2015,1,Influenza,26.6,82,21,276
San Pablo,2015,1,Pneumonia,26.6,82,21,187
San Pablo,2015,1,Bronchitis,26.6,82,21,59
San Pablo,2015,1,Asthma,26.6,82,21,245
San Pablo,2015,1,Common Cold,26.6,82,21,144
Santa Cruz,2015,1,Influenza,25.8,89,12,125
Santa Cruz,2015,1,Pneumonia,25.8,89,12,150
Santa Cruz,2015,1,Bronchitis,25.8,89,12,155
Santa Cruz,2015,1,Asthma,25.8,89,12,189
Santa Cruz,2015,1,Common Cold,25.8,89,12,137
Bay,2015,1,Influenza,25.0,90,25,136
Bay,2015,1,Pneumonia,25.0,90,25,68
Bay,2015,1,Bronchitis,25.0,90,25,109
Bay,2015,1,Asthma,25.0,90,25,102
Bay,2015,1,Common Cold,25.0,90,25,450
Los Baños,2015,1,Influenza,25.0,84,10,273
Los Baños,2015,1,Pneumonia,25.0,84,10,150
Los Baños,2015,1,Bronchitis,25.0,84,10,100
Los Baños,2015,1,Asthma,25.0,84,10,119
Los Baños,2015,1,Common Cold,25.0,84,10,324
Victoria,2015,1,Influenza,25.2,90,48,114
Victoria,2015,1,Pneumonia,25.2,90,48,41
Victoria,2015,1,Bronchitis,25.2,90,48,92
Victoria,2015,1,Asthma,25.2,90,48,70
Victoria,2015,1,Common Cold,25.2,90,48,498
Pagsanjan,2015,1,Influenza,26.9,86,40,224
Pagsanjan,2015,1,Pneumonia,26.9,86,40,71
Pagsanjan,2015,1,Bronchitis,26.9,86,40,44
Pagsanjan,2015,1,Asthma,26.9,86,40,155
Pagsanjan,2015,1,Common Cold,26.9,86,40,185
Pakil,2015,1,Influenza,26.7,88,51,296
Pakil,2015,1,Pneumonia,26.7,88,51,146
Pakil,2015,1,Bronchitis,26.7,88,51,80
Pakil,2015,1,Asthma,26.7,88,51,61
Pakil,2015,1,Common Cold,26.7,88,51,499
Paete,2015,1,Influenza,25.8,87,71,134
Paete,2015,1,Pneumonia,25.8,87,71,61
Paete,2015,1,Bronchitis,25.8,87,71,112
Paete,2015,1,Asthma,25.8,87,71,245
Paete,2015,1,Common Cold,25.8,87,71,135
Pila,2015,1,Influenza,27.1,85,10,113
Pila,2015,1,Pneumonia,27.1,85,10,40
Pila,2015,1,Bronchitis,27.1,85,10,115
Pila,2015,1,Asthma,27.1,85,10,246
Pila,2015,1,Common Cold,27.1,85,10,431
Liliw,2015,1,Influenza,25.4,86,27,249
Liliw,2015,1,Pneumonia,25.4,86,27,144
Liliw,2015,1,Bronchitis,25.4,86,27,96
Liliw,2015,1,Asthma,25.4,86,27,169
Liliw,2015,1,Common Cold,25.4,86,27,170
Nagcarlan,2015,1,Influenza,25.4,87,69,258
Nagcarlan,2015,1,Pneumonia,25.4,87,69,162
Nagcarlan,2015,1,Bronchitis,25.4,87,69,27
Nagcarlan,2015,1,Asthma,25.4,87,69,116
Nagcarlan,2015,1,Common Cold,25.4,87,69,120
Majayjay,2015,1,Influenza,25.4,87,12,57
Majayjay,2015,1,Pneumonia,25.4,87,12,106
Majayjay,2015,1,Bronchitis,25.4,87,12,79
Majayjay,2015,1,Asthma,25.4,87,12,160
Majayjay,2015,1,Common Cold,25.4,87,12,132
Siniloan,2015,1,Influenza,25.3,85,57,180
Siniloan,2015,1,Pneumonia,25.3,85,57,133
Siniloan,2015,1,Bronchitis,25.3,85,57,40
Siniloan,2015,1,Asthma,25.3,85,57,47
Siniloan,2015,1,Common Cold,25.3,85,57,135
Famy,2015,1,Influenza,25.6,83,45,238
Famy,2015,1,Pneumonia,25.6,83,45,35
Famy,2015,1,Bronchitis,25.6,83,45,127
Famy,2015,1,Asthma,25.6,83,45,161
Famy,2015,1,Common Cold,25.6,83,45,364
Mabitac,2015,1,Influenza,25.1,90,41,92
Mabitac,2015,1,Pneumonia,25.1,90,41,157
Mabitac,2015,1,Bronchitis,25.1,90,41,81
Mabitac,2015,1,Asthma,25.1,90,41,80
Mabitac,2015,1,Common Cold,25.1,90,41,132
Rizal,2015,1,Influenza,26.4,92,39,292
Rizal,2015,1,Pneumonia,26.4,92,39,58
Rizal,2015,1,Bronchitis,26.4,92,39,108
Rizal,2015,1,Asthma,26.4,92,39,211
Rizal,2015,1,Common Cold,26.4,92,39,286
Alaminos,2015,1,Influenza,25.8,85,48,95
Alaminos,2015,1,Pneumonia,25.8,85,48,180
Alaminos,2015,1,Bronchitis,25.8,85,48,136
Alaminos,2015,1,Asthma,25.8,85,48,244
Alaminos,2015,1,Common Cold,25.8,85,48,334
Pangil,2015,1,Influenza,25.5,88,10,300
Pangil,2015,1,Pneumonia,25.5,88,10,130
Pangil,2015,1,Bronchitis,25.5,88,10,74
Pangil,2015,1,Asthma,25.5,88,10,214
Pangil,2015,1,Common Cold,25.5,88,10,407
Kalayaan,2015,1,Influenza,26.3,88,21,143
Kalayaan,2015,1,Pneumonia,26.3,88,21,70
Kalayaan,2015,1,Bronchitis,26.3,88,21,111
Kalayaan,2015,1,Asthma,26.3,88,21,126
Kalayaan,2015,1,Common Cold,26.3,88,21,304
Cavinti,2015,1,Influenza,26.7,84,33,244
Cavinti,2015,1,Pneumonia,26.7,84,33,107
